name,SLOC,WMC,CBO,RFC,LCOM5,DIT,NOC,delta_WMC,delta_CBO,delta_RFC,delta_LCOM5,delta_DIT,delta_NOC,%WMC,%CBO,%RFC,%LCOM5,%DIT,%NOC,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,churnsloc,%added,%deleted,%changed,%churn, bug
math\analysis\integration\LegendreGaussIntegrator.java\org.apache.commons.math.analysis.integration.LegendreGaussIntegrator,124,13,8,51,0.925,1,0,1,3,23,0.025,1,0,0.071428571,0.333333333,0.442307692,0.012987013,0.5,0,119,124,9,4,49,58,0.072580645,0.032258065,0.39516129,0.467741935,0
math\analysis\integration\RombergIntegrator.java\org.apache.commons.math.analysis.integration.RombergIntegrator,59,10,8,47,0.333333333,1,0,0,3,16,0.333333333,1,0,0,0.333333333,0.333333333,0.25,0.5,0,58,59,20,19,15,35,0.338983051,0.322033898,0.254237288,0.593220339,0
math\analysis\integration\SimpsonIntegrator.java\org.apache.commons.math.analysis.integration.SimpsonIntegrator,51,10,8,47,0.333333333,1,0,0,3,16,0.333333333,1,0,0,0.333333333,0.333333333,0.25,0.5,0,54,51,18,21,16,34,0.352941176,0.411764706,0.31372549,0.666666667,0
math\analysis\integration\TrapezoidIntegrator.java\org.apache.commons.math.analysis.integration.TrapezoidIntegrator,67,12,7,46,0.75,1,0,0,3,16,0.25,1,0,0,0.375,0.340425532,0.142857143,0.5,0,65,67,19,17,23,42,0.28358209,0.253731343,0.343283582,0.626865672,0
math\analysis\interpolation\DividedDifferenceInterpolator.java\org.apache.commons.math.analysis.interpolation.DividedDifferenceInterpolator,26,4,2,18,2,0,0,1,1,11,0,0,0,0.2,0.333333333,0.578947368,0,0,0,31,26,0,5,6,6,0,0.192307692,0.230769231,0.230769231,0
math\analysis\interpolation\LoessInterpolator.java\org.apache.commons.math.analysis.interpolation.LoessInterpolator,170,33,11,39,0.904761905,0,0,3,8,23,0.00952381,0,0,0.088235294,0.666666667,0.575,0.005,0,0,198,170,4,32,28,32,0.023529412,0.188235294,0.164705882,0.188235294,0
math\analysis\interpolation\MicrosphereInterpolatingFunction.java\org.apache.commons.math.analysis.interpolation.MicrosphereInterpolatingFunction,102,17,8,41,0.625,0,0,3,2,29,0,0,0,0.166666667,0.222222222,0.69047619,0,0,0,93,102,9,0,8,17,0.088235294,0,0.078431373,0.166666667,0
math\analysis\interpolation\MicrosphereInterpolator.java\org.apache.commons.math.analysis.interpolation.MicrosphereInterpolator,30,5,5,28,0.75,0,0,2,0,14,0.125,0,0,0.333333333,0,0.482758621,0.071428571,0,0,41,30,6,17,9,15,0.2,0.566666667,0.3,0.5,0
math\analysis\interpolation\NevilleInterpolator.java\org.apache.commons.math.analysis.interpolation.NevilleInterpolator,7,1,1,15,0,0,0,0,1,11,0,0,0,0,0.5,0.6875,0,0,0,8,7,0,1,2,2,0,0.142857143,0.285714286,0.285714286,0
math\analysis\interpolation\SplineInterpolator.java\org.apache.commons.math.analysis.interpolation.SplineInterpolator,48,7,6,21,,0,0,2,3,16,0,0,0,0.25,0.428571429,0.727272727,0,0,0,55,48,0,7,5,5,0,0.145833333,0.104166667,0.104166667,0
math\analysis\polynomials\PolynomialFunction.java\org.apache.commons.math.analysis.polynomials.PolynomialFunction,192,44,5,27,0.666666667,0,0,1,4,11,0.047619048,0,0,0.022222222,0.666666667,0.392857143,0.028571429,0,0,165,192,31,4,63,94,0.161458333,0.020833333,0.328125,0.489583333,0
math\analysis\polynomials\PolynomialFunctionLagrangeForm.java\org.apache.commons.math.analysis.polynomials.PolynomialFunctionLagrangeForm,129,27,6,23,0.722222222,0,0,2,2,9,0.034722222,0,0,0.071428571,0.285714286,0.375,0.02016129,0,0,134,129,14,19,15,29,0.108527132,0.147286822,0.11627907,0.224806202,0
math\analysis\polynomials\PolynomialFunctionNewtonForm.java\org.apache.commons.math.analysis.polynomials.PolynomialFunctionNewtonForm,72,16,3,16,0.6875,0,0,0,1,6,0,0,0,0,0.25,0.352941176,0,0,0,76,72,0,4,14,14,0,0.055555556,0.194444444,0.194444444,0
math\analysis\polynomials\PolynomialSplineFunction.java\org.apache.commons.math.analysis.polynomials.PolynomialSplineFunction,60,14,7,32,0.388888889,0,0,3,4,17,0.087301587,0,0,0.2,0.5,0.515151515,0.062857143,0,0,71,60,4,15,11,15,0.066666667,0.25,0.183333333,0.25,0
math\analysis\polynomials\PolynomialsUtils.java\org.apache.commons.math.analysis.polynomials.PolynomialsUtils,182,19,6,44,1,0,0,8,3,27,0,0,0,0.4,0.428571429,0.6,0,0,0,112,182,70,0,8,78,0.384615385,0,0.043956044,0.428571429,0
math\analysis\solvers\BisectionSolver.java\org.apache.commons.math.analysis.solvers.BisectionSolver,37,7,2,58,1,2,0,2,2,21,1,0,0,0.25,0.666666667,0.355932203,0.5,0,0,49,37,0,12,21,21,0,0.324324324,0.567567568,0.567567568,0
math\analysis\solvers\BrentSolver.java\org.apache.commons.math.analysis.solvers.BrentSolver,123,21,3,62,1,2,0,8,1,25,0.166666667,0,0,0.363636364,0.25,0.396825397,0.083333333,0,0,161,123,10,48,83,93,0.081300813,0.390243902,0.674796748,0.756097561,0
math\analysis\solvers\LaguerreSolver.java\org.apache.commons.math.analysis.solvers.LaguerreSolver,167,15,4,81,1,2,0,20,3,23,0.166666667,0,0,1.25,0.6,0.280487805,0.083333333,0,0,191,167,75,99,66,141,0.449101796,0.592814371,0.395209581,0.844311377,0
math\analysis\solvers\MullerSolver.java\org.apache.commons.math.analysis.solvers.MullerSolver,90,18,1,61,1,2,0,15,4,22,1,0,0,0.789473684,2,0.35483871,0.5,0,0,156,90,15,81,34,49,0.166666667,0.9,0.377777778,0.544444444,0
math\analysis\solvers\NewtonSolver.java\org.apache.commons.math.analysis.solvers.NewtonSolver,28,6,3,59,1,2,0,3,3,22,1,0,0,0.428571429,0.75,0.366666667,0.5,0,0,50,28,0,22,20,20,0,0.785714286,0.714285714,0.714285714,0
math\analysis\solvers\RiddersSolver.java\org.apache.commons.math.analysis.solvers.RiddersSolver,74,13,1,60,1,2,0,6,4,23,1,0,0,0.428571429,2,0.37704918,0.5,0,0,96,74,2,24,32,34,0.027027027,0.324324324,0.432432432,0.459459459,0
math\analysis\solvers\SecantSolver.java\org.apache.commons.math.analysis.solvers.SecantSolver,47,10,1,58,1,2,0,4,4,22,1,0,0,0.363636364,2,0.372881356,0.5,0,0,83,47,1,37,35,36,0.021276596,0.787234043,0.744680851,0.765957447,0
math\complex\Complex.java\org.apache.commons.math.complex.Complex,378,96,6,77,0.734883721,0,0,22,3,37,0.071176885,0,0,0.226804124,0.428571429,0.474358974,0.041026891,0,0,294,378,93,9,109,202,0.246031746,0.023809524,0.288359788,0.534391534,4
