name,SLOC,WMC,CBO,RFC,LCOM5,DIT,NOC,delta_WMC,delta_CBO,delta_RFC,delta_LCOM5,delta_DIT,delta_NOC,%WMC,%CBO,%RFC,%LCOM5,%DIT,%NOC,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,churnsloc,%added,%deleted,%changed,%churn, bug
math3\analysis\FunctionUtils.java\org.apache.commons.math3.analysis.FunctionUtils,432,25,13,31,,0,0,9,5,9,0,0,0,0.346153846,0.357142857,0.28125,0,0,0,169,432,263,0,10,273,0.608796296,0,0.023148148,0.631944444,0
math3\analysis\function\Abs.java\org.apache.commons.math3.analysis.function.Abs,5,1,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0
math3\analysis\function\Acos.java\org.apache.commons.math3.analysis.function.Acos,12,3,3,13,,0,0,1,2,7,0,0,0,0.25,0.5,0.5,0,0,0,12,12,1,1,5,6,0.083333333,0.083333333,0.416666667,0.5,0
math3\analysis\function\Acosh.java\org.apache.commons.math3.analysis.function.Acosh,12,3,3,13,,0,0,1,2,7,0,0,0,0.25,0.5,0.5,0,0,0,12,12,1,1,5,6,0.083333333,0.083333333,0.416666667,0.5,0
math3\analysis\function\Add.java\org.apache.commons.math3.analysis.function.Add,5,1,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0
math3\analysis\function\Asin.java\org.apache.commons.math3.analysis.function.Asin,12,3,3,12,,0,0,1,2,7,0,0,0,0.25,0.5,0.538461538,0,0,0,12,12,1,1,5,6,0.083333333,0.083333333,0.416666667,0.5,0
math3\analysis\function\Asinh.java\org.apache.commons.math3.analysis.function.Asinh,12,3,3,13,,0,0,1,2,7,0,0,0,0.25,0.5,0.5,0,0,0,12,12,1,1,5,6,0.083333333,0.083333333,0.416666667,0.5,0
math3\analysis\function\Atan.java\org.apache.commons.math3.analysis.function.Atan,12,3,3,11,,0,0,1,2,7,0,0,0,0.25,0.5,0.583333333,0,0,0,12,12,1,1,5,6,0.083333333,0.083333333,0.416666667,0.5,0
math3\analysis\function\Atan2.java\org.apache.commons.math3.analysis.function.Atan2,5,1,1,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0
math3\analysis\function\Atanh.java\org.apache.commons.math3.analysis.function.Atanh,12,3,3,12,,0,0,1,2,7,0,0,0,0.25,0.5,0.538461538,0,0,0,12,12,1,1,5,6,0.083333333,0.083333333,0.416666667,0.5,0
math3\analysis\function\Cbrt.java\org.apache.commons.math3.analysis.function.Cbrt,12,3,3,16,,0,0,1,2,13,0,0,0,0.25,0.5,0.764705882,0,0,0,12,12,1,1,5,6,0.083333333,0.083333333,0.416666667,0.5,0
math3\analysis\function\Ceil.java\org.apache.commons.math3.analysis.function.Ceil,5,1,1,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0
math3\analysis\function\Constant.java\org.apache.commons.math3.analysis.function.Constant,16,4,2,18,0.333333333,0,0,1,2,15,0.166666667,0,0,0.2,0.666666667,0.789473684,0.125,0,0,12,16,4,0,3,7,0.25,0,0.1875,0.4375,0
math3\analysis\function\Cos.java\org.apache.commons.math3.analysis.function.Cos,12,3,3,20,,0,0,1,2,12,0,0,0,0.25,0.5,0.571428571,0,0,0,12,12,1,1,5,6,0.083333333,0.083333333,0.416666667,0.5,0
math3\analysis\function\Cosh.java\org.apache.commons.math3.analysis.function.Cosh,12,3,3,14,,0,0,1,1,9,0,0,0,0.25,0.25,0.6,0,0,0,8,12,4,0,3,7,0.333333333,0,0.25,0.583333333,0
math3\analysis\function\Divide.java\org.apache.commons.math3.analysis.function.Divide,5,1,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0
math3\analysis\function\Exp.java\org.apache.commons.math3.analysis.function.Exp,12,3,3,11,,0,0,1,2,7,0,0,0,0.25,0.5,0.583333333,0,0,0,12,12,1,1,5,6,0.083333333,0.083333333,0.416666667,0.5,0
math3\analysis\function\Expm1.java\org.apache.commons.math3.analysis.function.Expm1,12,3,3,13,,0,0,1,2,8,0,0,0,0.25,0.5,0.571428571,0,0,0,12,12,1,1,5,6,0.083333333,0.083333333,0.416666667,0.5,0
math3\analysis\function\Floor.java\org.apache.commons.math3.analysis.function.Floor,5,1,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0
math3\analysis\function\Gaussian.java\org.apache.commons.math3.analysis.function.Gaussian,108,14,5,28,0.75,0,0,7,3,11,0.05,0,0,0.466666667,0.5,0.379310345,0.028571429,0,0,73,108,45,10,8,53,0.416666667,0.092592593,0.074074074,0.490740741,0
math3\analysis\function\HarmonicOscillator.java\org.apache.commons.math3.analysis.function.HarmonicOscillator,68,7,3,31,0.5,0,0,3,2,21,0.166666667,0,0,0.375,0.5,0.65625,0.111111111,0,0,51,68,21,4,5,26,0.308823529,0.058823529,0.073529412,0.382352941,0
math3\analysis\function\Identity.java\org.apache.commons.math3.analysis.function.Identity,12,3,2,4,,0,0,1,1,1,0,0,0,0.25,0.333333333,0.2,0,0,0,8,12,4,0,3,7,0.333333333,0,0.25,0.583333333,0
math3\analysis\function\Inverse.java\org.apache.commons.math3.analysis.function.Inverse,12,3,2,11,,0,0,1,2,9,0,0,0,0.25,0.666666667,0.75,0,0,0,12,12,1,1,5,6,0.083333333,0.083333333,0.416666667,0.5,0
math3\analysis\function\Log.java\org.apache.commons.math3.analysis.function.Log,12,3,3,11,,0,0,1,2,7,0,0,0,0.25,0.5,0.583333333,0,0,0,12,12,1,1,5,6,0.083333333,0.083333333,0.416666667,0.5,0
math3\analysis\function\Log10.java\org.apache.commons.math3.analysis.function.Log10,12,3,3,12,,0,0,1,2,8,2,0,0,0.25,0.5,0.615384615,2,0,0,13,12,1,2,5,6,0.083333333,0.166666667,0.416666667,0.5,0
math3\analysis\function\Log1p.java\org.apache.commons.math3.analysis.function.Log1p,12,3,3,11,,0,0,1,2,7,0,0,0,0.25,0.5,0.583333333,0,0,0,12,12,1,1,5,6,0.083333333,0.083333333,0.416666667,0.5,0
math3\analysis\function\Logistic.java\org.apache.commons.math3.analysis.function.Logistic,90,6,4,33,0.5,0,0,1,2,17,0.166666667,0,0,0.142857143,0.4,0.5,0.111111111,0,0,85,90,14,9,6,20,0.155555556,0.1,0.066666667,0.222222222,0
math3\analysis\function\Logit.java\org.apache.commons.math3.analysis.function.Logit,83,12,4,25,0.6,0,0,6,2,11,0.15,0,0,0.461538462,0.4,0.423076923,0.09375,0,0,50,83,37,4,7,44,0.445783133,0.048192771,0.084337349,0.530120482,0
math3\analysis\function\Max.java\org.apache.commons.math3.analysis.function.Max,5,1,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0
math3\analysis\function\Min.java\org.apache.commons.math3.analysis.function.Min,5,1,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0
math3\analysis\function\Minus.java\org.apache.commons.math3.analysis.function.Minus,12,3,2,7,,0,0,1,1,4,0,0,0,0.25,0.333333333,0.5,0,0,0,8,12,4,0,3,7,0.333333333,0,0.25,0.583333333,0
math3\analysis\function\Multiply.java\org.apache.commons.math3.analysis.function.Multiply,5,1,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0
math3\analysis\function\Pow.java\org.apache.commons.math3.analysis.function.Pow,5,1,1,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0
math3\analysis\function\Power.java\org.apache.commons.math3.analysis.function.Power,16,4,3,13,0.333333333,0,0,1,2,7,0.166666667,0,0,0.2,0.5,0.5,0.125,0,0,16,16,1,1,5,6,0.0625,0.0625,0.3125,0.375,0
math3\analysis\function\Rint.java\org.apache.commons.math3.analysis.function.Rint,5,1,1,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0
math3\analysis\function\Sigmoid.java\org.apache.commons.math3.analysis.function.Sigmoid,77,10,3,23,0.6,0,0,5,2,16,0.15,0,0,0.454545455,0.5,0.666666667,0.09375,0,0,51,77,35,9,5,40,0.454545455,0.116883117,0.064935065,0.519480519,0
math3\analysis\function\Signum.java\org.apache.commons.math3.analysis.function.Signum,5,1,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0
math3\analysis\function\Sin.java\org.apache.commons.math3.analysis.function.Sin,12,3,3,20,,0,0,1,1,12,0,0,0,0.25,0.25,0.571428571,0,0,0,8,12,4,0,3,7,0.333333333,0,0.25,0.583333333,0
math3\analysis\function\Sinc.java\org.apache.commons.math3.analysis.function.Sinc,79,18,3,32,0.625,0,0,8,2,18,0.075,0,0,0.421052632,0.5,0.545454545,0.046153846,0,0,42,79,37,0,25,62,0.46835443,0,0.316455696,0.784810127,0
math3\analysis\function\Sinh.java\org.apache.commons.math3.analysis.function.Sinh,12,3,3,14,,0,0,1,1,8,0,0,0,0.25,0.25,0.533333333,0,0,0,8,12,4,0,3,7,0.333333333,0,0.25,0.583333333,0
math3\analysis\function\Sqrt.java\org.apache.commons.math3.analysis.function.Sqrt,12,3,3,16,,0,0,1,2,13,0,0,0,0.25,0.5,0.764705882,0,0,0,12,12,1,1,5,6,0.083333333,0.083333333,0.416666667,0.5,0
math3\analysis\function\StepFunction.java\org.apache.commons.math3.analysis.function.StepFunction,36,7,4,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,36,3,0,1,4,0.083333333,0,0.027777778,0.111111111,0
math3\analysis\function\Subtract.java\org.apache.commons.math3.analysis.function.Subtract,5,1,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0
math3\analysis\function\Tan.java\org.apache.commons.math3.analysis.function.Tan,12,3,3,18,,0,0,1,2,11,0,0,0,0.25,0.5,0.578947368,0,0,0,13,12,1,2,5,6,0.083333333,0.166666667,0.416666667,0.5,0
math3\analysis\function\Tanh.java\org.apache.commons.math3.analysis.function.Tanh,12,3,3,12,,0,0,1,2,7,0,0,0,0.25,0.5,0.538461538,0,0,0,13,12,1,2,5,6,0.083333333,0.166666667,0.416666667,0.5,0
math3\analysis\function\Ulp.java\org.apache.commons.math3.analysis.function.Ulp,5,1,1,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0
math3\analysis\integration\BaseAbstractUnivariateIntegrator.java\org.apache.commons.math3.analysis.integration.BaseAbstractUnivariateIntegrator,98,18,10,41,0.928571429,0,5,2,0,2,0.001984127,0,1,0.105263158,0,0.047619048,0.001028807,0,0.166666667,92,98,6,0,10,16,0.06122449,0,0.102040816,0.163265306,0
math3\analysis\integration\LegendreGaussIntegrator.java\org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator,124,13,8,53,0.925,1,0,0,0,2,0,0,0,0,0,0.037037037,0,0,0,124,124,0,0,5,5,0,0,0.040322581,0.040322581,0
math3\analysis\integration\RombergIntegrator.java\org.apache.commons.math3.analysis.integration.RombergIntegrator,59,10,8,49,0.333333333,1,0,0,0,2,0,0,0,0,0,0.04,0,0,0,59,59,0,0,3,3,0,0,0.050847458,0.050847458,0
math3\analysis\integration\SimpsonIntegrator.java\org.apache.commons.math3.analysis.integration.SimpsonIntegrator,51,10,8,49,0.333333333,1,0,0,0,2,0,0,0,0,0,0.04,0,0,0,51,51,0,0,4,4,0,0,0.078431373,0.078431373,0
math3\analysis\integration\TrapezoidIntegrator.java\org.apache.commons.math3.analysis.integration.TrapezoidIntegrator,71,12,7,48,0.75,1,0,0,0,2,0,0,0,0,0,0.040816327,0,0,0,67,71,4,0,8,12,0.056338028,0,0.112676056,0.169014085,0
math3\analysis\interpolation\BicubicSplineInterpolatingFunction.java\org.apache.commons.math3.analysis.interpolation.BicubicSplineFunction,135,22,1,16,0.839285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,136,0,0,0,0,0,0,0,0,0
math3\analysis\interpolation\BicubicSplineInterpolatingFunction.java\org.apache.commons.math3.analysis.interpolation.BicubicSplineInterpolatingFunction,174,34,6,37,0.82,0,0,0,1,0,0,0,0,0,0.142857143,0,0,0,0,165,174,9,0,8,17,0.051724138,0,0.045977011,0.097701149,0
math3\analysis\interpolation\BicubicSplineInterpolator.java\org.apache.commons.math3.analysis.interpolation.BicubicSplineInterpolator,74,18,8,32,,0,1,0,1,0,0,0,0,0,0.111111111,0,0,0,0,71,74,3,0,1,4,0.040540541,0,0.013513514,0.054054054,0
math3\analysis\interpolation\DividedDifferenceInterpolator.java\org.apache.commons.math3.analysis.interpolation.DividedDifferenceInterpolator,32,4,5,18,2,0,0,0,3,0,0,0,0,0,0.5,0,0,0,0,26,32,6,0,2,8,0.1875,0,0.0625,0.25,0
math3\analysis\interpolation\LinearInterpolator.java\org.apache.commons.math3.analysis.interpolation.LinearInterpolator,28,5,7,21,,0,0,0,1,0,0,0,0,0,0.125,0,0,0,0,25,28,3,0,2,5,0.107142857,0,0.071428571,0.178571429,0
math3\analysis\interpolation\LoessInterpolator.java\org.apache.commons.math3.analysis.interpolation.LoessInterpolator,188,33,13,39,0.904761905,0,0,0,2,0,0,0,0,0,0.142857143,0,0,0,0,170,188,18,0,5,23,0.095744681,0,0.026595745,0.122340426,0
math3\analysis\interpolation\MicrosphereInterpolatingFunction.java\org.apache.commons.math3.analysis.interpolation.MicrosphereInterpolatingFunction,105,17,8,37,0.625,0,0,0,0,4,0,0,0,0,0,0.105263158,0,0,0,102,105,3,0,1,4,0.028571429,0,0.00952381,0.038095238,0
math3\analysis\interpolation\MicrosphereInterpolator.java\org.apache.commons.math3.analysis.interpolation.MicrosphereInterpolator,35,5,8,28,0.75,0,0,0,3,0,0,0,0,0,0.333333333,0,0,0,0,30,35,5,0,2,7,0.142857143,0,0.057142857,0.2,0
math3\analysis\interpolation\NevilleInterpolator.java\org.apache.commons.math3.analysis.interpolation.NevilleInterpolator,10,1,4,15,0,0,0,0,3,0,0,0,0,0,0.6,0,0,0,0,7,10,3,0,1,4,0.3,0,0.1,0.4,0
math3\analysis\interpolation\SmoothingPolynomialBicubicSplineInterpolator.java\org.apache.commons.math3.analysis.interpolation.SmoothingPolynomialBicubicSplineInterpolator,69,16,8,57,0.666666667,1,0,0,0,1,0,0,0,0,0,0.017241379,0,0,0,67,69,2,0,1,3,0.028985507,0,0.014492754,0.043478261,0
math3\analysis\interpolation\SplineInterpolator.java\org.apache.commons.math3.analysis.interpolation.SplineInterpolator,51,7,7,21,,0,0,0,1,0,0,0,0,0,0.125,0,0,0,0,48,51,3,0,10,13,0.058823529,0,0.196078431,0.254901961,0
math3\analysis\interpolation\TricubicSplineInterpolatingFunction.java\org.apache.commons.math3.analysis.interpolation.TricubicSplineFunction,43,11,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,44,1,0,1,2,0.022727273,0,0.022727273,0.045454545,0
math3\analysis\interpolation\TricubicSplineInterpolatingFunction.java\org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,264,40,6,23,0.733333333,0,0,0,1,0,0,0,0,0,0.142857143,0,0,0,0,260,264,4,0,2,6,0.015151515,0,0.007575758,0.022727273,0
math3\analysis\interpolation\TricubicSplineInterpolator.java\org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolator,125,27,7,52,,0,0,0,1,0,0,0,0,0,0.125,0,0,0,0,122,125,3,0,1,4,0.024,0,0.008,0.032,0
math3\analysis\interpolation\UnivariatePeriodicInterpolator.java\org.apache.commons.math3.analysis.interpolation.UnivariatePeriodicInterpolator,50,6,4,19,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,50,1,0,4,5,0.02,0,0.08,0.1,0
math3\analysis\polynomials\PolynomialFunction.java\org.apache.commons.math3.analysis.polynomials.PolynomialFunction,206,47,6,44,0.65625,0,0,3,1,17,0.010416667,0,0,0.0625,0.142857143,0.377777778,0.006289308,0,0,192,206,14,0,1,15,0.067961165,0,0.004854369,0.072815534,0
math3\analysis\polynomials\PolynomialFunctionLagrangeForm.java\org.apache.commons.math3.analysis.polynomials.PolynomialFunctionLagrangeForm,129,27,6,23,0.722222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,129,0,0,0,0,0,0,0,0,0
math3\analysis\polynomials\PolynomialFunctionNewtonForm.java\org.apache.commons.math3.analysis.polynomials.PolynomialFunctionNewtonForm,81,18,4,32,0.666666667,0,0,2,1,16,0.020833333,0,0,0.105263158,0.2,0.484848485,0.0125,0,0,72,81,9,0,1,10,0.111111111,0,0.012345679,0.12345679,0
math3\analysis\polynomials\PolynomialSplineFunction.java\org.apache.commons.math3.analysis.polynomials.PolynomialSplineFunction,74,18,8,49,0.333333333,0,0,4,1,17,0.055555556,0,0,0.210526316,0.111111111,0.34,0.041666667,0,0,60,74,14,0,1,15,0.189189189,0,0.013513514,0.202702703,0
math3\analysis\polynomials\PolynomialsUtils.java\org.apache.commons.math3.analysis.polynomials.PolynomialsUtils,182,19,6,43,1,0,0,0,0,1,0,0,0,0,0,0.022727273,0,0,0,182,182,0,0,0,0,0,0,0,0,0
math3\analysis\solvers\AbstractDifferentiableUnivariateSolver.java\org.apache.commons.math3.analysis.solvers.AbstractDifferentiableUnivariateSolver,24,4,3,53,0.666666667,1,1,0,1,0,0,0,0,0,0.25,0,0,0,0,23,24,1,0,3,4,0.041666667,0,0.125,0.166666667,0
math3\analysis\solvers\AbstractPolynomialSolver.java\org.apache.commons.math3.analysis.solvers.AbstractPolynomialSolver,26,5,1,55,0.75,1,1,0,0,0,0,0,0,0,0,0,0,0,0,26,26,0,0,0,0,0,0,0,0,0
math3\analysis\solvers\AbstractUnivariateSolver.java\org.apache.commons.math3.analysis.solvers.AbstractUnivariateSolver,16,3,0,52,,1,8,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,3,3,0,0,0.1875,0.1875,0
math3\analysis\solvers\AllowedSolution.java\org.apache.commons.math3.analysis.solvers.AllowedSolution,7,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0
math3\analysis\solvers\BaseAbstractUnivariateSolver.java\org.apache.commons.math3.analysis.solvers.BaseAbstractUnivariateSolver,122,24,9,49,0.940909091,0,4,0,2,0,0,0,1,0,0.2,0,0,0,0.2,113,122,9,0,6,15,0.073770492,0,0.049180328,0.12295082,0
math3\analysis\solvers\BaseSecantSolver.java\org.apache.commons.math3.analysis.solvers.BaseSecantSolver,143,36,6,64,0.666666667,2,3,2,1,2,0,0,0,0.054054054,0.142857143,0.030769231,0,0,0,134,143,11,2,7,18,0.076923077,0.013986014,0.048951049,0.125874126,0
math3\analysis\solvers\BisectionSolver.java\org.apache.commons.math3.analysis.solvers.BisectionSolver,38,7,3,58,1,2,0,0,1,0,0,0,0,0,0.25,0,0,0,0,37,38,1,0,1,2,0.026315789,0,0.026315789,0.052631579,0
math3\analysis\solvers\BracketingNthOrderBrentSolver.java\org.apache.commons.math3.analysis.solvers.BracketingNthOrderBrentSolver,216,41,9,68,0.8125,2,0,0,2,1,0,0,0,0,0.2,0.014492754,0,0,0,201,216,15,0,6,21,0.069444444,0,0.027777778,0.097222222,0
