name,SLOC,WMC,CBO,RFC,LCOM5,DIT,NOC,delta_WMC,delta_CBO,delta_RFC,delta_LCOM5,delta_DIT,delta_NOC,%WMC,%CBO,%RFC,%LCOM5,%DIT,%NOC,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,churnsloc,%added,%deleted,%changed,%churn, bug
math\distribution\PoissonDistributionImpl.java\org.apache.commons.math.distribution.PoissonDistributionImpl,58,14,6,43,0.851851852,2,0,0,1,4,0,0,0,0,0.142857143,0.090909091,0,0,0,55,59,4,0,2,6,0.06779661,0,0.033898305,0.101694915,0
math\distribution\TDistributionImpl.java\org.apache.commons.math.distribution.TDistributionImpl,62,13,3,35,1,2,0,0,1,1,0,0,0,0,0.25,0.027777778,0,0,0,56,62,6,0,1,7,0.096774194,0,0.016129032,0.112903226,0
math\distribution\WeibullDistributionImpl.java\org.apache.commons.math.distribution.WeibullDistributionImpl,69,16,1,25,0.962962963,2,0,0,1,1,0,0,0,0,0.5,0.038461538,0,0,0,63,69,6,0,6,12,0.086956522,0,0.086956522,0.173913043,0
math\estimation\EstimatedParameter.java\org.apache.commons.math.estimation.EstimatedParameter,39,8,0,8,0.642857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39,0,0,0,0,0,0,0,0,0
math\estimation\EstimationException.java\org.apache.commons.math.estimation.EstimationException,7,1,0,13,0,2,0,1,0,4,2,0,0,0.5,0,0.285714286,2,0,0,10,7,0,3,2,2,0,0.428571429,0.285714286,0.285714286,0
math\estimation\GaussNewtonEstimator.java\org.apache.commons.math.estimation.GaussNewtonEstimator,68,13,11,61,0.75,1,0,2,4,40,0.125,1,0,0.142857143,0.333333333,0.64516129,0.071428571,0.5,0,86,68,18,36,44,62,0.264705882,0.529411765,0.647058824,0.911764706,0
math\estimation\LevenbergMarquardtEstimator.java\org.apache.commons.math.estimation.LevenbergMarquardtEstimator,456,97,3,58,0.829059829,1,0,10,1,32,0.043403939,1,0,0.102040816,0.25,0.542372881,0.023730191,0.5,0,523,456,6,73,26,32,0.013157895,0.160087719,0.057017544,0.070175439,0
math\estimation\SimpleEstimationProblem.java\org.apache.commons.math.estimation.SimpleEstimationProblem,29,8,2,7,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,29,0,1,9,9,0,0.034482759,0.310344828,0.310344828,0
math\estimation\WeightedMeasurement.java\org.apache.commons.math.estimation.WeightedMeasurement,34,9,1,9,0.78125,0,0,0,0,0,0.114583333,0,0,0,0,0,0.064327485,0,0,33,34,1,0,0,1,0.029411765,0,0,0.029411765,0
math\fraction\Fraction.java\org.apache.commons.math.fraction.Fraction,309,70,4,40,0.967545639,1,0,13,2,8,0.14849802,0,0,0.183098592,0.4,0.195121951,0.075473736,0,0,237,309,75,3,43,118,0.242718447,0.009708738,0.139158576,0.381877023,1
math\fraction\FractionConversionException.java\org.apache.commons.math.fraction.FractionConversionException,9,2,0,18,2,3,0,1,0,7,2,1,0,0.333333333,0,0.368421053,0.666666667,0.25,0,8,9,1,0,5,6,0.111111111,0,0.555555556,0.666666667,0
math\fraction\FractionFormat.java\org.apache.commons.math.fraction.FractionFormat,104,22,5,40,1.076923077,2,1,13,2,2,0.124542125,1,0,0.565217391,0.333333333,0.048780488,0.059964727,0.333333333,0,159,104,6,61,35,41,0.057692308,0.586538462,0.336538462,0.394230769,0
math\fraction\ProperFractionFormat.java\org.apache.commons.math.fraction.ProperFractionFormat,97,17,3,48,1,3,0,2,1,5,0,1,0,0.111111111,0.25,0.102040816,0,0.25,0,87,97,10,0,3,13,0.103092784,0,0.030927835,0.134020619,0
math\geometry\CardanEulerSingularityException.java\org.apache.commons.math.geometry.CardanEulerSingularityException,7,2,0,13,0,2,0,0,0,3,0,0,0,0,0,0.214285714,0,0,0,7,7,0,0,1,1,0,0,0.142857143,0.142857143,0
math\geometry\NotARotationMatrixException.java\org.apache.commons.math.geometry.NotARotationMatrixException,7,1,0,13,0,2,0,0,0,3,0,0,0,0,0,0.214285714,0,0,0,7,7,0,0,1,1,0,0,0.142857143,0.142857143,0
math\geometry\Rotation.java\org.apache.commons.math.geometry.Rotation,507,63,5,40,0.55,0,0,0,1,3,0.14,0,0,0,0.166666667,0.073170732,0.090322581,0,0,516,507,0,9,62,62,0,0.017751479,0.122287968,0.122287968,0
math\geometry\RotationOrder.java\org.apache.commons.math.geometry.RotationOrder,50,5,1,5,1.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,50,1,0,12,13,0.02,0,0.24,0.26,0
math\geometry\Vector3D.java\org.apache.commons.math.geometry.Vector3D,204,47,3,39,0.856862745,0,0,16,3,15,0.038680927,0,0,0.333333333,0.75,0.375,0.020831333,0,0,134,204,70,0,21,91,0.343137255,0,0.102941176,0.446078431,0
math\linear\BigMatrixImpl.java\org.apache.commons.math.linear.BigMatrixImpl,780,188,6,75,0.896610169,0,0,12,3,14,0.006898602,0,0,0.063492063,0.428571429,0.184210526,0.003637333,0,0,660,780,158,38,194,352,0.202564103,0.048717949,0.248717949,0.451282051,1
math\linear\InvalidMatrixException.java\org.apache.commons.math.linear.InvalidMatrixException,9,2,0,25,2,2,2,0,0,23,0,1,2,0,0,0.884615385,0,0.333333333,0.666666667,9,9,0,0,6,6,0,0,0.666666667,0.666666667,0
math\linear\MatrixIndexException.java\org.apache.commons.math.linear.MatrixIndexException,6,1,0,24,0,2,0,1,0,22,2,1,0,0.5,0,0.88,2,0.333333333,0,9,6,0,3,4,4,0,0.5,0.666666667,0.666666667,0
math\linear\MatrixUtils.java\org.apache.commons.math.linear.MatrixUtils,379,80,19,99,,0,0,55,15,65,0,0,0,0.679012346,0.75,0.65,0,0,0,93,379,286,0,44,330,0.754617414,0,0.116094987,0.870712401,0
math\linear\QRDecompositionImpl.java\org.apache.commons.math.linear.QRDecompositionImpl,240,27,5,15,0.6,0,0,9,3,10,0.6,0,0,0.321428571,0.5,0.625,0.375,0,0,70,240,174,4,36,210,0.725,0.016666667,0.15,0.875,0
math\linear\RealMatrixImpl.java\org.apache.commons.math.linear.RealMatrixImpl,400,87,6,116,0.651515152,1,0,54,2,68,0.212825934,1,0,0.613636364,0.285714286,0.581196581,0.128867079,0.5,0,533,400,117,250,180,297,0.2925,0.625,0.45,0.7425,1
math\ode\ContinuousOutputModel.java\org.apache.commons.math.ode.ContinuousOutputModel,161,33,3,14,0.683333333,0,0,1,1,5,0,0,0,0.029411765,0.25,0.333333333,0,0,0,165,161,4,8,44,48,0.02484472,0.049689441,0.273291925,0.298136646,0
math\ode\DerivativeException.java\org.apache.commons.math.ode.DerivativeException,10,2,0,14,2,2,1,0,0,3,0,0,1,0,0,0.2,0,0,0.5,10,10,1,1,2,3,0.1,0.1,0.2,0.3,0
math\ode\FirstOrderConverter.java\org.apache.commons.math.ode.FirstOrderConverter,25,3,2,3,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,0,1,4,4,0,0.04,0.16,0.16,0
math\ode\IntegratorException.java\org.apache.commons.math.ode.IntegratorException,10,2,0,14,2,2,0,0,0,3,0,0,0,0,0,0.2,0,0,0,10,10,1,1,2,3,0.1,0.1,0.2,0.3,0
