name,SLOC,WMC,CBO,RFC,LCOM5,DIT,NOC,delta_WMC,delta_CBO,delta_RFC,delta_LCOM5,delta_DIT,delta_NOC,%WMC,%CBO,%RFC,%LCOM5,%DIT,%NOC,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,churnsloc,%added,%deleted,%changed,%churn, bug
lang3\ArrayUtils.java\org.apache.commons.lang3.ArrayUtils,1734,528,4,286,0.982835821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1734,1734,0,0,0,0,0,0,0,0,0
lang3\BitField.java\org.apache.commons.lang3.BitField,67,23,0,18,0.764705882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,67,0,0,0,0,0,0,0,0,0
lang3\BooleanUtils.java\org.apache.commons.lang3.BooleanUtils,287,116,2,36,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,287,0,0,0,0,0,0,0,0,0
lang3\CharEncoding.java\org.apache.commons.lang3.CharEncoding,19,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0,0,0,0,0,0,0,0,0
lang3\CharRange.java\org.apache.commons.lang3.CharRange,146,25,1,15,0.753846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,146,0,0,0,0,0,0,0,0,0
lang3\CharSequenceUtils.java\org.apache.commons.lang3.CharSequenceUtils,8,4,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0
lang3\CharSet.java\org.apache.commons.lang3.CharSet,96,22,1,16,1.013888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,96,0,0,0,0,0,0,0,0,0
lang3\CharSetUtils.java\org.apache.commons.lang3.CharSetUtils,104,27,3,22,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,104,0,0,0,0,0,0,0,0,0
lang3\CharUtils.java\org.apache.commons.lang3.CharUtils,144,39,1,24,1.027272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,144,0,0,0,0,0,0,0,0,0
lang3\ClassUtils.java\org.apache.commons.lang3.ClassUtils,463,124,4,104,0.978571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463,463,0,0,0,0,0,0,0,0,0
