name,SLOC,WMC,CBO,RFC,LCOM5,DIT,NOC,delta_WMC,delta_CBO,delta_RFC,delta_LCOM5,delta_DIT,delta_NOC,%WMC,%CBO,%RFC,%LCOM5,%DIT,%NOC,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,churnsloc,%added,%deleted,%changed,%churn, bug
lang3\AnnotationUtils.java\org.apache.commons.lang3.AnnotationUtils,210,54,3,34,1,0,0,2,0,0,0,0,0,0.036363636,0,0,0,0,0,204,210,11,5,9,20,0.052380952,0.023809524,0.042857143,0.095238095,0
lang3\ArrayUtils.java\org.apache.commons.lang3.ArrayUtils,1710,520,5,299,0.982920792,0,0,1,1,13,8.50E-05,0,0,0.001919386,0.166666667,0.043333333,4.29E-05,0,0,1707,1710,4,1,4,8,0.002339181,0.000584795,0.002339181,0.004678363,0
lang3\BitField.java\org.apache.commons.lang3.BitField,67,23,0,18,0.764705882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,67,0,0,0,0,0,0,0,0,0
lang3\BooleanUtils.java\org.apache.commons.lang3.BooleanUtils,308,108,2,36,,0,0,8,0,0,0,0,0,0.073394495,0,0,0,0,0,315,308,14,21,29,43,0.045454545,0.068181818,0.094155844,0.13961039,0
lang3\CharEncoding.java\org.apache.commons.lang3.CharEncoding,18,3,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,19,18,0,1,2,2,0,0.055555556,0.111111111,0.111111111,0
lang3\CharRange.java\org.apache.commons.lang3.CharRange,146,25,1,15,0.753846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,146,0,0,1,1,0,0,0.006849315,0.006849315,0
lang3\CharSequenceUtils.java\org.apache.commons.lang3.CharSequenceUtils,69,21,0,8,,0,0,19,0,7,0,0,0,0.863636364,0,0.777777778,0,0,0,5,69,64,0,0,64,0.927536232,0,0,0.927536232,0
lang3\CharSet.java\org.apache.commons.lang3.CharSet,91,21,1,14,1.017857143,0,0,1,0,2,0.003968254,0,0,0.045454545,0,0.133333333,0.001966568,0,0,96,91,6,11,3,9,0.065934066,0.120879121,0.032967033,0.098901099,0
lang3\CharSetUtils.java\org.apache.commons.lang3.CharSetUtils,75,21,2,19,,0,0,6,1,3,0,0,0,0.272727273,0.333333333,0.15,0,0,0,104,75,10,39,12,22,0.133333333,0.52,0.16,0.293333333,0
lang3\CharUtils.java\org.apache.commons.lang3.CharUtils,144,39,1,24,1.027272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,144,0,0,0,0,0,0,0,0,0
lang3\ClassUtils.java\org.apache.commons.lang3.ClassUtils,472,127,5,107,0.983108108,0,0,4,0,2,0.000965251,0,0,0.03125,0,0.018518519,0.000486736,0,0,460,472,12,0,6,18,0.025423729,0,0.012711864,0.038135593,0
lang3\EnumUtils.java\org.apache.commons.lang3.EnumUtils,35,10,0,5,,0,0,2,0,0,0,0,0,0.181818182,0,0,0,0,0,29,35,6,0,0,6,0.171428571,0,0,0.171428571,0
lang3\JavaVersion.java\org.apache.commons.lang3.JavaVersion,50,16,0,7,0.96969697,0,0,1,0,1,0.012121212,0,0,0.058823529,0,0.125,0.006153846,0,0,54,50,4,8,16,20,0.08,0.16,0.32,0.4,0
lang3\LocaleUtils.java\org.apache.commons.lang3.LocaleUtils,126,30,1,9,1,0,0,6,1,2,0.05,0,0,0.193548387,0.5,0.2,0.025,0,0,136,126,19,29,25,44,0.150793651,0.23015873,0.198412698,0.349206349,0
lang3\ObjectUtils.java\org.apache.commons.lang3.ObjectUtils,149,49,2,18,1.0625,0,0,3,0,1,0.004166667,0,0,0.06,0,0.052631579,0.002020202,0,0,140,149,9,0,16,25,0.060402685,0,0.10738255,0.167785235,0
lang3\RandomStringUtils.java\org.apache.commons.lang3.RandomStringUtils,96,26,0,12,0.727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,96,0,1,4,4,0,0.010416667,0.041666667,0.041666667,0
lang3\Range.java\org.apache.commons.lang3.Range,169,42,1,23,0.78030303,0,0,9,0,4,0.062834225,0,0,0.209302326,0,0.166666667,0.035294118,0,0,159,169,27,17,53,80,0.159763314,0.100591716,0.313609467,0.473372781,0
lang3\SerializationException.java\org.apache.commons.lang3.SerializationException,15,4,0,4,1.333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0
lang3\SerializationUtils.java\org.apache.commons.lang3.SerializationUtils,62,16,1,6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,62,0,0,2,2,0,0,0.032258065,0.032258065,0
lang3\StringEscapeUtils.java\org.apache.commons.lang3.StringEscapeUtils,159,13,10,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,150,0,0,0,0,0,0,0,0,0
lang3\StringUtils.java\org.apache.commons.lang3.StringUtils,2092,610,4,174,0.972326454,0,0,9,0,3,0.000167718,0,0,0.014729951,0,0.017142857,8.50E-05,0,0,2052,2092,72,32,141,213,0.034416826,0.015296367,0.067399618,0.101816444,1
lang3\SystemUtils.java\org.apache.commons.lang3.SystemUtils,136,19,1,15,1.066528067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,136,1,0,5,6,0.007352941,0,0.036764706,0.044117647,0
lang3\Validate.java\org.apache.commons.lang3.Validate,237,73,2,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,237,8,20,28,36,0.033755274,0.084388186,0.11814346,0.151898734,0
lang3\builder\CompareToBuilder.java\org.apache.commons.lang3.builder.CompareToBuilder,412,135,2,31,0.275862069,0,0,1,0,1,0.024137931,0,0,0.007352941,0,0.03125,0.018918919,0,0,417,412,0,5,5,5,0,0.012135922,0.012135922,0.012135922,0
lang3\builder\EqualsBuilder.java\org.apache.commons.lang3.builder.EqualsBuilder,411,116,4,40,0.636363636,0,0,2,1,0,0.020779221,0,0,0.017094017,0.2,0,0.012698413,0,0,417,411,0,6,7,7,0,0.01459854,0.01703163,0.01703163,0
lang3\builder\HashCodeBuilder.java\org.apache.commons.lang3.builder.HashCodeBuilder,273,77,3,37,0.598039216,0,0,2,0,2,0.022331155,0,0,0.025641026,0,0.052631579,0.013974097,0,0,282,273,0,9,24,24,0,0.032967033,0.087912088,0.087912088,0
lang3\builder\IDKey.java\org.apache.commons.lang3.builder.IDKey,23,5,0,3,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,0,0,0,0,0,0,0,0,0
lang3\builder\ReflectionToStringBuilder.java\org.apache.commons.lang3.builder.ReflectionToStringBuilder,153,42,3,164,0.95,1,0,1,0,1,0.001923077,0,0,0.023255814,0,0.006060606,0.000986193,0,0,156,153,0,3,2,2,0,0.019607843,0.013071895,0.013071895,0
lang3\builder\StandardToStringStyle.java\org.apache.commons.lang3.builder.StandardToStringStyle,166,41,0,155,1.025,1,0,0,0,0,0,0,0,0,0,0,0,0,0,166,166,0,0,40,40,0,0,0.240963855,0.240963855,0
lang3\builder\ToStringBuilder.java\org.apache.commons.lang3.builder.ToStringBuilder,270,69,3,153,0.592741935,0,1,0,0,0,0,0,0,0,0,0,0,0,0,270,270,0,0,0,0,0,0,0,0,0
lang3\builder\ToStringStyle.java\org.apache.commons.lang3.builder.ToStringStyle,787,209,8,114,0.977644311,0,6,0,0,0,0.001206335,0,0,0,0,0,0.000609986,0,0,785,787,2,0,6,8,0.002541296,0,0.007623888,0.010165184,0
lang3\concurrent\AtomicInitializer.java\org.apache.commons.lang3.concurrent.AtomicInitializer,14,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0
lang3\concurrent\AtomicSafeInitializer.java\org.apache.commons.lang3.concurrent.AtomicSafeInitializer,16,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0
lang3\concurrent\BackgroundInitializer.java\org.apache.commons.lang3.concurrent.BackgroundInitializer,85,19,3,20,0.888888889,0,2,0,0,0,0,0,0,0,0,0,0,0,0,85,85,0,0,0,0,0,0,0,0,0
lang3\concurrent\BasicThreadFactory.java\org.apache.commons.lang3.concurrent.BasicThreadFactory,111,14,1,9,0.854166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,111,1,1,0,1,0.009009009,0.009009009,0,0.009009009,0
lang3\concurrent\CallableBackgroundInitializer.java\org.apache.commons.lang3.concurrent.CallableBackgroundInitializer,21,5,0,23,0.333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,0,0,0,0,0,0,0,0,0
lang3\concurrent\ConcurrentException.java\org.apache.commons.lang3.concurrent.ConcurrentException,12,3,1,4,1.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0
lang3\concurrent\ConcurrentRuntimeException.java\org.apache.commons.lang3.concurrent.ConcurrentRuntimeException,12,3,1,4,1.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0
lang3\concurrent\ConcurrentUtils.java\org.apache.commons.lang3.concurrent.ConcurrentUtils,109,27,4,17,,0,0,8,0,3,0,0,0,0.285714286,0,0.166666667,0,0,0,83,109,26,0,0,26,0.23853211,0,0,0.23853211,0
lang3\concurrent\ConstantInitializer.java\org.apache.commons.lang3.concurrent.ConstantInitializer,33,9,3,7,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,0,0,1,1,0,0,0.03030303,0.03030303,0
