name,SLOC,WMC,CBO,RFC,LCOM5,DIT,NOC,delta_WMC,delta_CBO,delta_RFC,delta_LCOM5,delta_DIT,delta_NOC,%WMC,%CBO,%RFC,%LCOM5,%DIT,%NOC,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,churnsloc,%added,%deleted,%changed,%churn, bug
lang3\ArrayUtils.java\org.apache.commons.lang3.ArrayUtils,1734,528,4,286,0.982835821,0,0,49,1,14,0.002509007,0,0,0.092627599,0.2,0.048780488,0.001265363,0,0,1576,1734,162,4,75,237,0.093425606,0.002306805,0.043252595,0.136678201,2
lang3\BitField.java\org.apache.commons.lang3.BitField,67,23,0,18,0.764705882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,67,0,0,0,0,0,0,0,0,0
lang3\BooleanUtils.java\org.apache.commons.lang3.BooleanUtils,287,116,2,36,,0,0,2,0,2,0,0,0,0.017094017,0,0.054054054,0,0,0,289,287,1,3,10,11,0.003484321,0.010452962,0.034843206,0.038327526,0
lang3\CharEncoding.java\org.apache.commons.lang3.CharEncoding,19,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0,0,0,0,0,0,0,0,0
lang3\CharRange.java\org.apache.commons.lang3.CharRange,146,25,1,15,0.753846154,0,0,2,1,3,0.044755245,0,0,0.076923077,0.5,0.1875,0.025518341,0,0,85,146,77,16,4,81,0.52739726,0.109589041,0.02739726,0.554794521,0
lang3\CharSet.java\org.apache.commons.lang3.CharSet,96,22,1,16,1.013888889,0,0,0,0,3,0,0,0,0,0,0.176470588,0,0,0,94,96,3,1,8,11,0.03125,0.010416667,0.083333333,0.114583333,0
lang3\CharSetUtils.java\org.apache.commons.lang3.CharSetUtils,104,27,3,22,,0,0,7,0,1,0,0,0,0.25,0,0.043478261,0,0,0,132,104,0,28,2,2,0,0.269230769,0.019230769,0.019230769,0
lang3\CharUtils.java\org.apache.commons.lang3.CharUtils,144,39,1,24,1.027272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,144,0,0,0,0,0,0,0,0,0
lang3\ClassUtils.java\org.apache.commons.lang3.ClassUtils,463,124,4,104,0.978571429,0,0,38,1,12,0.015217391,0,0,0.304,0.2,0.114285714,0.0076911,0,0,342,463,136,15,75,211,0.293736501,0.032397408,0.161987041,0.455723542,2
lang3\EnumUtils.java\org.apache.commons.lang3.EnumUtils,29,8,0,5,,0,0,2,2,7,0,0,0,0.222222222,2,1.166666667,0,0,0,20,29,10,1,11,21,0.344827586,0.034482759,0.379310345,0.724137931,0
lang3\LocaleUtils.java\org.apache.commons.lang3.LocaleUtils,134,36,0,11,0.95,0,0,6,0,2,0.075,0,0,0.162162162,0,0.166666667,0.038461538,0,0,124,134,22,12,25,47,0.164179104,0.089552239,0.186567164,0.350746269,0
lang3\ObjectUtils.java\org.apache.commons.lang3.ObjectUtils,97,35,2,14,1.083333333,0,0,10,1,4,0.027777778,0,0,0.277777778,0.333333333,0.266666667,0.013333333,0,0,68,97,33,4,8,41,0.340206186,0.041237113,0.082474227,0.422680412,0
lang3\RandomStringUtils.java\org.apache.commons.lang3.RandomStringUtils,97,26,0,12,0.727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,97,0,0,0,0,0,0,0,0,0
lang3\SerializationException.java\org.apache.commons.lang3.SerializationException,15,4,0,4,1.333333333,1,0,0,0,38,0,1,0,0,0,7.6,0,0.5,0,15,15,0,0,1,1,0,0,0.066666667,0.066666667,0
lang3\SerializationUtils.java\org.apache.commons.lang3.SerializationUtils,60,16,1,6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,0,0,0,0,0,0,0,0,0
lang3\StringEscapeUtils.java\org.apache.commons.lang3.StringEscapeUtils,156,13,9,16,1,0,0,62,6,19,1,0,0,4.428571429,0.6,1.117647059,0.5,0,0,277,147,10,140,116,126,0.068027211,0.952380952,0.789115646,0.857142857,0
lang3\StringUtils.java\org.apache.commons.lang3.StringUtils,1943,580,6,171,0.877083333,0,0,96,0,2,0.061272831,0,0,0.165232358,0,0.011627907,0.032642574,0,0,1608,1943,452,117,210,662,0.232629954,0.060216161,0.108080288,0.340710242,2
lang3\SystemUtils.java\org.apache.commons.lang3.SystemUtils,218,43,1,24,1.033314512,0,0,13,1,8,0.019653525,0,0,0.295454545,0.5,0.32,0.009665757,0,0,177,218,81,40,40,121,0.371559633,0.183486239,0.183486239,0.555045872,0
lang3\Validate.java\org.apache.commons.lang3.Validate,249,73,2,34,1,0,0,24,2,12,1,0,0,0.324324324,0.666666667,0.342857143,0.5,0,0,133,249,136,20,58,194,0.546184739,0.080321285,0.232931727,0.779116466,0
lang3\builder\CompareToBuilder.java\org.apache.commons.lang3.builder.CompareToBuilder,417,136,2,32,0.3,0,0,0,0,1,0.024137931,0,0,0,0,0.03030303,0.018567639,0,0,411,417,7,1,13,20,0.016786571,0.002398082,0.03117506,0.047961631,0
lang3\builder\EqualsBuilder.java\org.apache.commons.lang3.builder.EqualsBuilder,418,118,5,39,0.657142857,0,0,10,4,9,0.407142857,0,0,0.084033613,0.666666667,0.225,0.245689655,0,0,365,418,53,0,22,75,0.126794258,0,0.052631579,0.179425837,0
lang3\builder\HashCodeBuilder.java\org.apache.commons.lang3.builder.HashCodeBuilder,282,79,3,39,0.62037037,0,0,3,2,2,0.008201058,0,0,0.0375,0.5,0.05,0.005061224,0,0,267,282,26,11,17,43,0.092198582,0.039007092,0.060283688,0.15248227,1
lang3\builder\ReflectionToStringBuilder.java\org.apache.commons.lang3.builder.ReflectionToStringBuilder,156,43,3,165,0.951923077,1,0,0,0,2,0.012362637,0,0,0,0,0.012048193,0.006333568,0,0,160,156,9,13,20,29,0.057692308,0.083333333,0.128205128,0.185897436,0
