name,SLOC,WMC,CBO,RFC,LCOM5,DIT,NOC,delta_WMC,delta_CBO,delta_RFC,delta_LCOM5,delta_DIT,delta_NOC,%WMC,%CBO,%RFC,%LCOM5,%DIT,%NOC,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,churnsloc,%added,%deleted,%changed,%churn, bug
time\Chronology.java\org.joda.time.Chronology,55,49,5,49,,0,1,18,6,154,0,0,0,0.36,1,3.08,0,0,0,109,55,0,54,0,0,0,0.981818182,0,0,0
time\DateMidnight.java\org.joda.time.DateMidnight,343,84,17,459,1.015873016,3,0,2,3,58,0.000520427,0,0,0.023529412,0.166666667,0.126086957,0.000258164,0,0,336,343,7,0,0,7,0.020408163,0,0,0.020408163,0
time\DateTime.java\org.joda.time.DateTime,572,132,20,492,1.01,3,0,10,2,66,0.001111111,0,0,0.07518797,0.095238095,0.133874239,0.000552792,0,0,498,572,74,0,0,74,0.129370629,0,0,0.129370629,0
time\DateTimeComparator.java\org.joda.time.DateTimeComparator,96,27,5,26,0.805555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,93,0,0,1,1,0,0,0.010752688,0.010752688,0
time\DateTimeConstants.java\org.joda.time.DateTimeConstants,44,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44,0,0,0,0,0,0,0,0,0
time\DateTimeField.java\org.joda.time.DateTimeField,52,50,3,50,,0,3,0,0,0,0,0,0,0,0,0,0,0,0,52,52,0,0,0,0,0,0,0,0,0
time\DateTimeFieldType.java\org.joda.time.DateTimeFieldType,297,30,4,31,1.016522989,0,1,0,0,0,0,0,0,0,0,0,0,0,0,283,297,14,0,0,14,0.047138047,0,0,0.047138047,0
time\DateTimeUtils.java\org.joda.time.DateTimeUtils,158,39,17,210,0.852941176,0,0,4,0,53,0.01372549,0,0,0.1,0,0.251184834,0.007407407,0,0,143,158,15,0,9,24,0.094936709,0,0.056962025,0.151898734,0
time\DateTimeZone.java\org.joda.time.DateTimeZone,528,125,19,308,0.963043478,0,4,13,1,10,0.001679842,0,0,0.103174603,0.05,0.03236246,0.000855733,0,0,492,528,50,14,41,91,0.09469697,0.026515152,0.077651515,0.172348485,2
time\Days.java\org.joda.time.Days,153,45,19,299,0.993333333,1,0,0,0,50,0,0,0,0,0,0.166666667,0,0,0,151,153,2,0,0,2,0.013071895,0,0,0.013071895,0
time\Duration.java\org.joda.time.Duration,121,36,7,284,0.94,2,0,9,3,65,0.001176471,0,0,0.243243243,0.375,0.228070175,0.000606428,0,0,90,121,31,0,0,31,0.256198347,0,0,0.256198347,0
time\DurationField.java\org.joda.time.DurationField,32,22,1,20,,0,4,1,0,1,0,0,0,0.043478261,0,0.047619048,0,0,0,33,32,0,1,1,1,0,0.03125,0.03125,0.03125,0
time\DurationFieldType.java\org.joda.time.DurationFieldType,148,17,3,18,1.028846154,0,1,0,0,0,0,0,0,0,0,0,0,0,0,148,148,0,0,0,0,0,0,0,0,0
time\Hours.java\org.joda.time.Hours,156,46,19,299,0.993846154,1,0,0,0,50,0,0,0,0,0,0.166666667,0,0,0,154,156,2,0,0,2,0.012820513,0,0,0.012820513,0
time\IllegalFieldValueException.java\org.joda.time.IllegalFieldValueException,166,27,2,21,0.641975309,1,0,0,0,0,0,0,0,0,0,0,0,0,0,166,166,0,0,0,0,0,0,0,0,0
time\Instant.java\org.joda.time.Instant,75,22,10,314,0.916666667,1,0,2,2,65,0.010416667,0,0,0.086956522,0.181818182,0.206349206,0.005434783,0,0,68,75,7,0,0,7,0.093333333,0,0,0.093333333,0
time\Interval.java\org.joda.time.Interval,137,35,7,315,1.043478261,2,0,1,0,37,0.001976285,0,0,0.027777778,0,0.117088608,0.000967118,0,0,134,137,3,0,0,3,0.02189781,0,0,0.02189781,0
time\JodaTimePermission.java\org.joda.time.JodaTimePermission,6,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0
time\LocalDate.java\org.joda.time.LocalDate,606,148,22,442,0.975543478,2,0,12,0,43,0.001816056,0,0,0.080536913,0,0.097065463,0.000919269,0,0,555,604,49,0,5,54,0.081125828,0,0.008278146,0.089403974,0
